smiles,Z1
C[N]1N=NC(=N1)N=NC2=CC=CC=C2,290.0
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,272.0
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,272.0
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,286.0
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,275.0
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,296.0
C[N]1N=CC=C1N=NC2=CC=CC=C2,289.0
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,296.0
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,311.0
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,300.0
CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,346.0
CN1C(/N=N/C2=CC=CC=C2)=CC=C1,333.0
CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,282.0
CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,297.0
CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,299.0
CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,293.0
FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,275.0
FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,275.0
FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,280.0
FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,280.0
FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,280.0
FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,255.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,255.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,255.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,255.0
CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,320.0
CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,300.0
CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,287.0
CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,293.0
CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,290.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,295.0
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,289.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,296.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,293.0
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,327.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,294.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,297.0
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,294.0
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,301.0
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,292.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,295.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,295.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,300.0
CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,285.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,303.0
CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,302.0
CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,313.0
CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,309.0
CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,296.0
CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,304.0
CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,294.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,294.0
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,310.0
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,306.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,288.0
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,308.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,309.0
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,285.0
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,289.0
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,309.0
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,318.0
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,308.0
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,315.0
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,342.0
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,298.0
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,292.0
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,323.0
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,287.0
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,305.0
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,297.0
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,290.0
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,304.0
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,311.0
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,285.0
COC(S1)=CC=C1/N=N/C2=CC=CC=C2,345.0
COC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,350.0
CC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,328.0
CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,326.0
N#CC(S1)=CC=C1/N=N/C2=CC=CC=C2,301.0
COC1=CC=C(/N=N/C2=CC=CS2)C=C1,286.0
N#CC1=CC=C(/N=N/C2=CC=CS2)C=C1,290.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=CS2)C=C1,285.0
COC1=CC(/N=N/C2=CC=CS2)=CC=C1,287.0
N#CC1=CC(/N=N/C2=CC=CS2)=CC=C1,288.0
